shot_num,quarter,game_clock,time_elapsed_s,shot_clock,shooter_name,shooter_team,shooter_player_id,shot_type,zone,shot_quality,nearest_def_dist,ball_x,ball_y,ball_z_at_release,shooter_x,shooter_y
40,1,Q1 0:56.65,663.35,18.41,Evan Turner,BOS,202323,2pt_jump_shot,wing_2,0.9081,4.53,18.92,15.501,7.115,18.778,15.482
41,1,Q1 0:45.39,674.61,15.59,Bojan Bogdanovic,BKN,202711,dunk,low_paint,7.275,1.297,89.203,23.892,10.739,88.914,22.477
42,1,Q1 0:38.70,681.3,24.0,Jarrett Jack,BKN,101127,2pt_jump_shot,straight_up_2,4.0,11.022,74.912,25.437,7.213,74.174,25.25
43,1,Q1 0:28.35,691.65,13.66,Tyler Zeller,BOS,203092,2pt_jump_shot,high_paint,2.982,2.234,14.308,23.323,7.918,14.354,24.613
44,1,Q1 0:07.40,712.6,6.59,Jarrett Jack,BKN,101127,2pt_jump_shot,straight_up_2,3.7586,5.034,67.803,26.337,7.304,67.959,26.425
45,2,Q2 11:33.98,746.02,10.15,Kelly Olynyk,BOS,203482,2pt_jump_shot,low_paint,7.3374,2.103,88.487,17.85,10.09,88.24,19.164
46,2,Q2 11:19.81,760.19,13.15,Thaddeus Young,BKN,201152,2pt_jump_shot,low_paint,8.4759,3.981,10.447,26.031,10.468,10.04,24.953
47,2,Q2 10:52.08,787.92,11.9,Brook Lopez,BKN,201572,2pt_jump_shot,wing_2,0.9478,5.164,14.811,13.435,12.244,14.168,13.833
48,2,Q2 10:50.80,789.2,10.62,Wayne Ellington,BKN,201961,2pt_jump_shot,low_paint,9.1317,5.063,11.263,25.785,10.861,11.555,27.183
49,2,Q2 10:41.12,798.88,17.98,Wayne Ellington,BKN,201961,layup,low_paint,7.7257,2.743,8.753,24.992,7.81,9.137,25.572
50,2,Q2 10:37.75,802.25,22.62,Thaddeus Young,BKN,201152,2pt_jump_shot,low_paint,7.2856,2.018,9.532,32.73,12.728,9.172,31.637
51,2,Q2 10:36.02,803.98,24.0,Wayne Ellington,BKN,201961,layup,low_paint,9.5065,5.681,6.128,23.502,10.517,5.865,22.854
52,2,Q2 10:22.29,817.71,11.22,Tyler Zeller,BOS,203092,layup,low_paint,8.8636,4.62,88.91,24.325,9.61,87.716,24.77
53,2,Q2 9:57.52,842.48,5.92,Tyler Zeller,BOS,203092,2pt_jump_shot,baseline_2,2.8393,3.766,87.97,14.492,11.825,88.18,15.96
54,2,Q2 9:45.39,854.61,16.0,Wayne Ellington,BKN,201961,2pt_jump_shot,baseline_2,2.475,1.371,13.407,37.299,15.074,13.073,36.108
55,2,Q2 9:44.05,855.95,24.0,Shane Larkin,BKN,203499,2pt_jump_shot,low_paint,7.3315,2.093,9.581,27.074,10.545,10.104,28.438
56,2,Q2 9:23.98,876.02,11.0,Tyler Zeller,BOS,203092,layup,low_paint,7.275,0.819,88.015,28.136,10.241,87.049,27.152
57,2,Q2 8:52.34,907.66,17.48,Joe Johnson,BKN,2207,2pt_jump_shot,straight_up_2,4.0,6.063,23.227,29.852,12.242,22.199,29.854
58,2,Q2 8:33.38,926.62,17.76,Brook Lopez,BKN,201572,2pt_jump_shot,high_paint,3.9,11.705,18.317,32.795,15.776,16.967,32.666
59,2,Q2 8:10.08,949.92,3.95,Jonas Jerebko,BOS,201973,2pt_jump_shot,low_paint,7.3797,2.173,83.352,30.301,7.7,84.481,29.588
60,2,Q2 8:07.59,952.41,24.0,Jared Sullinger,BOS,203096,dunk,low_paint,7.6015,2.539,88.311,25.156,10.499,89.257,24.017
61,2,Q2 7:33.92,986.08,11.91,Shane Larkin,BKN,203499,2pt_jump_shot,wing_2,0.7597,2.156,16.95,14.098,10.063,16.334,15.06
62,2,Q2 7:13.93,1006.07,10.97,Jared Sullinger,BOS,203096,layup,low_paint,8.1022,3.364,85.366,26.265,11.995,86.329,27.025
63,2,Q2 6:48.81,1031.19,9.11,Brook Lopez,BKN,201572,layup,low_paint,7.275,0.052,5.961,23.784,10.689,5.024,24.912
